Days,Longitude,Latitude,Tilt,DNI,GHI
31,14.3405651312591,37.6113432093701,18,1800,3
28,14.3405651312591,37.6113432093701,18,1800,3
31,14.3405651312591,37.6113432093701,18,1800,4
30,14.3405651312591,37.6113432093701,18,1800,4
31,14.3405651312591,37.6113432093701,18,1800,4
30,14.3405651312591,37.6113432093701,18,1900,5
31,14.3405651312591,37.6113432093701,18,1900,5
31,14.3405651312591,37.6113432093701,18,1900,5
30,14.3405651312591,37.6113432093701,18,1800,4
31,14.3405651312591,37.6113432093701,18,1800,4
30,14.3405651312591,37.6113432093701,18,1800,4
31,14.3405651312591,37.6113432093701,18,1800,3
